------------------------------------------------------------------------------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------------------------------------------------------------------------------
Epoch:1, Time:23ms, TrainError:0.697242, TrainErrorChange:0.697242, TrainAccuracy: 0.65808296
Epoch:2, Time:1ms, TrainError:0.6262595, TrainErrorChange:-0.070982516, TrainAccuracy: 0.832618
Epoch:3, Time:1ms, TrainError:0.5774469, TrainErrorChange:-0.048812628, TrainAccuracy: 0.8898426
Epoch:4, Time:1ms, TrainError:0.53905493, TrainErrorChange:-0.038391948, TrainAccuracy: 0.91130185
Epoch:5, Time:1ms, TrainError:0.5064129, TrainErrorChange:-0.032642007, TrainAccuracy: 0.91845495
Epoch:6, Time:1ms, TrainError:0.47765794, TrainErrorChange:-0.02875498, TrainAccuracy: 0.9141631
Epoch:7, Time:0ms, TrainError:0.45198157, TrainErrorChange:-0.02567637, TrainAccuracy: 0.9141631
Epoch:8, Time:0ms, TrainError:0.42896163, TrainErrorChange:-0.02301994, TrainAccuracy: 0.9155937
Epoch:9, Time:1ms, TrainError:0.40830964, TrainErrorChange:-0.020651996, TrainAccuracy: 0.9170243
Epoch:10, Time:1ms, TrainError:0.38978225, TrainErrorChange:-0.018527389, TrainAccuracy: 0.9155937
Epoch:11, Time:1ms, TrainError:0.37315813, TrainErrorChange:-0.016624123, TrainAccuracy: 0.9155937
Epoch:12, Time:1ms, TrainError:0.3582321, TrainErrorChange:-0.014926016, TrainAccuracy: 0.9141631
Epoch:13, Time:1ms, TrainError:0.34481427, TrainErrorChange:-0.01341784, TrainAccuracy: 0.9170243
Epoch:14, Time:1ms, TrainError:0.3327332, TrainErrorChange:-0.012081057, TrainAccuracy: 0.9170243
Epoch:15, Time:1ms, TrainError:0.32183453, TrainErrorChange:-0.0108986795, TrainAccuracy: 0.9170243
Epoch:16, Time:0ms, TrainError:0.31198043, TrainErrorChange:-0.009854108, TrainAccuracy: 0.9170243
Epoch:17, Time:0ms, TrainError:0.3030494, TrainErrorChange:-0.008931041, TrainAccuracy: 0.9170243
Epoch:18, Time:0ms, TrainError:0.2949334, TrainErrorChange:-0.008115977, TrainAccuracy: 0.9170243
Epoch:19, Time:1ms, TrainError:0.28753936, TrainErrorChange:-0.0073940456, TrainAccuracy: 0.9170243
Epoch:20, Time:1ms, TrainError:0.28078383, TrainErrorChange:-0.006755531, TrainAccuracy: 0.9170243
Epoch:21, Time:1ms, TrainError:0.27459452, TrainErrorChange:-0.0061893165, TrainAccuracy: 0.9170243
Epoch:22, Time:1ms, TrainError:0.26890782, TrainErrorChange:-0.0056867003, TrainAccuracy: 0.91845495
